"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
303.2,1.34,0.1063,0.6934,+-0.1,+-0.01,+-0.002,+-0.001
303.2,2.05,0.1936,0.8031,+-0.1,+-0.01,+-0.002,+-0.001
303.2,2.81,0.2776,0.86,+-0.1,+-0.01,+-0.002,+-0.001
303.2,3.36,0.3724,0.8906,+-0.1,+-0.01,+-0.002,+-0.001
303.2,4.31,0.5276,0.9266,+-0.1,+-0.01,+-0.002,+-0.001
303.2,4.7,0.6076,0.9403,+-0.1,+-0.01,+-0.002,+-0.001
303.2,5.3,0.7051,0.9526,+-0.1,+-0.01,+-0.002,+-0.001
303.2,5.95,0.799,0.9655,+-0.1,+-0.01,+-0.002,+-0.001
303.2,6.39,0.881,0.9771,+-0.1,+-0.01,+-0.002,+-0.001
303.2,6.85,0.95,0.9851,+-0.1,+-0.01,+-0.002,+-0.001
