"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
323.15,55.3,1.0,1.0,,,0.002,0.002
323.15,52.39,0.8962,0.9489,,,0.002,0.002
323.15,50.16,0.8179,0.9114,,,0.002,0.002
323.15,47.35,0.7233,0.8652,,,0.002,0.002
323.15,46.16,0.6809,0.844,,,0.002,0.002
323.15,43.41,0.5903,0.796,,,0.002,0.002
323.15,40.58,0.5013,0.7451,,,0.002,0.002
323.15,38.25,0.4358,0.6988,,,0.002,0.002
323.15,35.16,0.351,0.6329,,,0.002,0.002
323.15,33.35,0.3158,0.5875,,,0.002,0.002
323.15,28.34,0.1855,0.4468,,,0.002,0.002
323.15,24.49,0.1048,0.3041,,,0.002,0.002
323.15,20.85,0.034,0.1209,,,0.002,0.002
323.15,18.97,0.0,0.0,,,0.002,0.002
