"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
159.8,42,0.0,0.0,+-0.1,+-3,+-0.004,+-0.004
159.8,60,,0.2708,+-0.1,+-3,+-0.004,+-0.004
159.8,92,0.0268,0.5195,+-0.1,+-3,+-0.004,+-0.004
159.8,95,0.0283,0.5367,+-0.1,+-3,+-0.004,+-0.004
159.8,127,0.0444,0.642,+-0.1,+-3,+-0.004,+-0.004
159.8,214,0.0979,0.7763,+-0.1,+-3,+-0.004,+-0.004
159.8,326,0.1631,0.8427,+-0.1,+-3,+-0.004,+-0.004
159.8,437,0.2249,0.8728,+-0.1,+-3,+-0.004,+-0.004
159.8,571,0.3026,0.8936,+-0.1,+-3,+-0.004,+-0.004
159.8,720,0.3897,0.904,+-0.1,+-3,+-0.004,+-0.004
159.8,854,0.4698,0.9105,+-0.1,+-3,+-0.004,+-0.004
159.8,1003,0.5623,0.9127,+-0.1,+-3,+-0.004,+-0.004
159.8,1085,0.6111,0.9125,+-0.1,+-3,+-0.004,+-0.004
159.8,1202,0.683,0.9045,+-0.1,+-3,+-0.004,+-0.004
159.8,1300,0.7425,0.8914,+-0.1,+-3,+-0.004,+-0.004
159.8,1337,0.7796,0.8694,+-0.1,+-3,+-0.004,+-0.004
