"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
150.5,760,0.015,0.053,+-0.05,+-1,,
149.1,760,0.029,0.091,+-0.05,+-1,,
147.5,760,0.053,0.149,+-0.05,+-1,,
146.3,760,0.082,0.19,+-0.05,+-1,,
145.4,760,0.113,0.231,+-0.05,+-1,,
144.4,760,0.154,0.277,+-0.05,+-1,,
142.1,760,0.29,0.405,+-0.05,+-1,,
141.85,760,0.305,0.419,+-0.05,+-1,,
140.3,760,0.441,0.531,+-0.05,+-1,,
139.8,760,0.502,0.574,+-0.05,+-1,,
139.7,760,0.52,0.586,+-0.05,+-1,,
139.4,760,0.57,0.62,+-0.05,+-1,,
139.3,760,0.601,0.639,+-0.05,+-1,,
139.0,760,0.727,0.727,+-0.05,+-1,,
139.1,760,0.756,0.751,+-0.05,+-1,,
139.4,760,0.851,0.838,+-0.05,+-1,,
139.5,760,0.867,0.854,+-0.05,+-1,,
139.9,760,0.919,0.909,+-0.05,+-1,,
