"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
351.55,101.3,0.9761,0.9988,+-0.1,+-0.07,,
353.35,101.3,0.908,0.9886,+-0.1,+-0.07,,
357.05,101.3,0.7762,0.965,+-0.1,+-0.07,,
363.05,101.3,0.6054,0.9285,+-0.1,+-0.07,,
364.65,101.3,0.5724,0.9204,+-0.1,+-0.07,,
367.15,101.3,0.4843,0.8931,+-0.1,+-0.07,,
367.65,101.3,0.4712,0.8889,+-0.1,+-0.07,,
371.15,101.3,0.4024,0.8571,+-0.1,+-0.07,,
375.45,101.3,0.3412,0.8245,+-0.1,+-0.07,,
383.15,101.3,0.2397,0.7318,+-0.1,+-0.07,,
398.15,101.3,0.1116,0.5305,+-0.1,+-0.07,,
414.35,101.3,0.0139,0.1261,+-0.1,+-0.07,,
