"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
328.15,307.63,0.0,,,,,
328.15,374.01,0.0083,,,,,
328.15,449.18,0.0238,,,,,
328.15,516.07,0.0391,,,,,
328.15,582.78,0.0677,,,,,
328.15,626.47,0.1009,,,,,
328.15,667.75,0.1735,,,,,
328.15,686.3,0.3296,,,,,
328.15,689.93,0.3949,,,,,
328.15,693.17,0.488,,,,,
328.15,695.49,0.5825,,,,,
328.15,697.28,0.6377,,,,,
328.15,696.81,0.6504,,,,,
328.15,691.16,0.7679,,,,,
328.15,679.41,0.8326,,,,,
328.15,669.76,0.8657,,,,,
328.15,578.25,0.9662,,,,,
328.15,507.71,1.0,,,,,
