"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
100.0,18.87,0.0,0.0,,,,
100.0,19.4,0.0102,0.0414,,,,
100.0,20.51,0.0297,0.1098,,,,
100.0,22.51,0.0691,0.2166,,,,
100.0,24.75,0.122,0.3224,,,,
100.0,27.14,0.192,0.4228,,,,
100.0,29.32,0.2678,0.5038,,,,
100.0,31.34,0.3479,0.5708,,,,
100.0,31.29,0.3527,0.5704,,,,
100.0,32.91,0.4297,0.6262,,,,
100.0,34.15,0.5204,0.6751,,,,
100.0,35.23,0.6173,0.7245,,,,
100.0,36.08,0.7221,0.7824,,,,
100.0,36.49,0.8195,0.8381,,,,
100.0,36.58,0.8972,0.8944,,,,
100.0,36.3,0.9541,0.945,,,,
100.0,35.97,0.9781,0.9749,,,,
100.0,35.7,1.0,1.0,,,,
