"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
39.7,241,0.025,0.981,+-0.1,+-0.1%,+-0.005,+-0.005
39.7,601,0.055,0.99,+-0.1,+-0.1%,+-0.005,+-0.005
39.7,1004,0.104,0.988,+-0.1,+-0.1%,+-0.005,+-0.005
39.7,1508,0.149,0.988,+-0.1,+-0.1%,+-0.005,+-0.005
39.7,2008,0.194,0.988,+-0.1,+-0.1%,+-0.005,+-0.005
39.7,2504,0.223,0.987,+-0.1,+-0.1%,+-0.005,+-0.005
39.7,3006,0.251,0.985,+-0.1,+-0.1%,+-0.005,+-0.005
