"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
318.12,112.93,0.047,0.198,,,,
318.12,119.6,0.066,0.258,,,,
318.12,131.33,0.103,0.346,,,,
318.12,142.91,0.145,0.421,,,,
318.12,156.21,0.197,0.494,,,,
318.12,171.66,0.273,0.569,,,,
318.12,185.6,0.357,0.63,,,,
318.12,196.53,0.443,0.68,,,,
318.12,205.63,0.529,0.722,,,,
318.12,211.73,0.605,0.753,,,,
318.12,216.63,0.671,0.782,,,,
318.12,220.13,0.731,0.81,,,,
318.12,222.15,0.771,0.831,,,,
318.12,223.78,0.807,0.849,,,,
318.12,225.76,0.867,0.882,,,,
318.12,226.34,0.907,0.912,,,,
318.12,225.98,0.935,0.933,,,,
318.12,225.71,0.956,0.953,,,,
318.12,225.53,0.964,0.961,,,,
