"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
318.15,9.34,0.0,,+- 0.005,0.2%,,
318.15,13.52,0.0502,,+- 0.005,0.2%,,
318.15,16.75,0.1188,,+- 0.005,0.2%,,
318.15,17.59,0.1464,,+- 0.005,0.2%,,
318.15,18.8,0.2031,,+- 0.005,0.2%,,
318.15,20.0,0.306,,+- 0.005,0.2%,,
318.15,20.53,0.4034,,+- 0.005,0.2%,,
318.15,20.8,0.5027,,+- 0.005,0.2%,,
318.15,20.94,0.611,,+- 0.005,0.2%,,
318.15,20.98,0.6722,,+- 0.005,0.2%,,
318.15,20.86,0.8113,,+- 0.005,0.2%,,
318.15,20.73,0.8496,,+- 0.005,0.2%,,
318.15,20.16,0.9184,,+- 0.005,0.2%,,
318.15,19.44,0.95,,+- 0.005,0.2%,,
318.15,15.3,1.0,,+- 0.005,0.2%,,
