"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
383.15,0.2694,0.0,0.0,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.2925,0.003,0.11,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.3435,0.021,0.24,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.3862,0.035,0.33,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.4247,0.05,0.411,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.5098,0.098,0.514,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.5627,0.138,0.561,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.6283,0.197,0.629,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.6944,0.311,0.684,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7413,0.417,0.718,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7701,0.543,0.756,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7887,0.723,0.803,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.793,0.787,0.83,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7927,0.862,0.869,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7916,0.917,0.909,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7871,0.949,0.938,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7802,0.969,0.961,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7761,0.985,0.98,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7719,1.0,1.0,+-0.02,+-0.0002,+-0.002,+-0.002
