"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
323.23,4.45,0.0,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,4.829,0.00418,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,5.096,0.00955,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,5.4,0.0165,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,6.509,0.04026,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,7.474,0.06253,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,7.394,0.06253,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,8.434,0.08381,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,9.183,0.10449,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,9.817,0.12393,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,10.36,0.14256,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,11.606,0.19179,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,12.383,0.23373,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,13.075,0.27354,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,13.599,0.31381,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,13.948,0.3452,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,14.275,0.37988,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,14.512,0.41413,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,14.691,0.45172,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,14.812,0.48544,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,14.88,0.51437,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,14.987,0.5434,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,15.008,0.5714,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,15.227,0.98505,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,15.076,0.98733,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,14.779,0.98926,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,14.483,0.99097,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,14.332,0.99175,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,14.168,0.99254,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,14.003,0.99331,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,13.816,0.99409,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,13.648,0.99487,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,13.5,0.99549,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,13.344,0.99611,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,13.194,0.99671,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,13.05,0.99728,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,12.856,0.99797,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,12.696,0.99857,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,12.618,0.99883,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,12.54,0.9991,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,12.48,0.99929,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,12.36,0.99951,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,12.319,0.99968,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,12.279,0.99982,,+-0.1,+-0.01,+-0.0001,+-0.0001
323.23,12.2,1.0,,+-0.1,+-0.01,+-0.0001,+-0.0001
