"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
60.0,284.2,0.034,0.014,+-0.1,+-0.5,+-0.002,+-0.010
60.0,279.0,0.059,0.019,+-0.1,+-0.5,+-0.002,+-0.010
60.0,278.3,0.082,0.023,+-0.1,+-0.5,+-0.002,+-0.010
60.0,276.2,0.092,0.023,+-0.1,+-0.5,+-0.002,+-0.010
60.0,273.0,0.109,0.026,+-0.1,+-0.5,+-0.002,+-0.010
60.0,269.7,0.127,0.031,+-0.1,+-0.5,+-0.002,+-0.010
60.0,270.0,0.139,0.031,+-0.1,+-0.5,+-0.002,+-0.010
60.0,267.5,0.163,0.029,+-0.1,+-0.5,+-0.002,+-0.010
60.0,266.4,0.172,0.032,+-0.1,+-0.5,+-0.002,+-0.010
60.0,257.6,0.236,0.037,+-0.1,+-0.5,+-0.002,+-0.010
60.0,260.6,0.239,0.037,+-0.1,+-0.5,+-0.002,+-0.010
60.0,252.2,0.32,0.042,+-0.1,+-0.5,+-0.002,+-0.010
60.0,252.2,0.341,0.039,+-0.1,+-0.5,+-0.002,+-0.010
60.0,246.7,0.386,0.042,+-0.1,+-0.5,+-0.002,+-0.010
60.0,244.7,0.416,0.047,+-0.1,+-0.5,+-0.002,+-0.010
60.0,229.7,0.519,0.055,+-0.1,+-0.5,+-0.002,+-0.010
60.0,226.8,0.533,0.061,+-0.1,+-0.5,+-0.002,+-0.010
60.0,233.5,0.568,0.056,+-0.1,+-0.5,+-0.002,+-0.010
60.0,223.1,0.589,0.054,+-0.1,+-0.5,+-0.002,+-0.010
60.0,220.5,0.65,0.052,+-0.1,+-0.5,+-0.002,+-0.010
60.0,188.3,0.818,0.075,+-0.1,+-0.5,+-0.002,+-0.010
