"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
353.15,12.652,0.9522,0.522,,,,
353.15,12.647,0.9522,0.522,,,,
353.15,13.139,0.9485,0.5,,,,
353.15,13.141,0.9485,0.5,,,,
353.15,15.845,0.9292,0.404,,,,
353.15,19.777,0.9039,0.312,,,,
353.15,19.756,0.9039,0.312,,,,
353.15,21.016,0.897,0.292,,,,
353.15,20.993,0.897,0.292,,,,
353.15,29.36,0.8522,0.195,,,,
353.15,29.577,0.8522,0.195,,,,
353.15,29.372,0.8522,0.195,,,,
353.15,29.559,0.852,0.194,,,,
353.15,29.665,0.852,0.194,,,,
353.15,29.656,0.582,0.194,,,,
353.15,31.875,0.8415,0.178,,,,
353.15,32.055,0.8415,0.178,,,,
353.15,32.053,0.8415,0.178,,,,
353.15,41.491,0.8022,0.129,,,,
353.15,41.481,0.8022,0.129,,,,
353.15,42.431,0.8,0.127,,,,
353.15,42.34,0.8002,0.127,,,,
353.15,42.312,0.8002,0.127,,,,
353.15,78.385,0.6998,0.061,,,,
353.15,59.508,0.7458,0.0844,,,,
353.15,59.516,0.7458,0.0844,,,,
353.15,78.766,0.6985,0.0605,,,,
353.15,78.798,0.6985,0.0605,,,,
353.15,131.112,0.6042,0.0329,,,,
353.15,131.314,0.6042,0.0329,,,,
353.15,136.75,0.5959,0.0313,,,,
353.15,136.723,0.5959,0.0313,,,,
353.15,135.965,0.5948,0.0311,,,,
353.15,136.132,0.5948,0.0311,,,,
353.15,204.82,0.5033,0.0184,,,,
353.15,204.58,0.5033,0.0184,,,,
353.15,206.243,0.5028,0.0184,,,,
353.15,205.804,0.5028,0.0184,,,,
353.15,367.86,0.3096,0.00742,,,,
353.15,369.466,0.3089,0.0074,,,,
353.15,448.911,0.2131,0.00499,,,,
353.15,449.592,0.2136,0.005,,,,
