"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
57.8,6,0.926,0.955,0.1,0.1,,
58.3,6,0.833,0.903,0.1,0.1,,
58.9,6,0.762,0.886,0.1,0.1,,
59.4,6,0.693,0.873,0.1,0.1,,
60.1,6,0.619,0.85,0.1,0.1,,
61.2,6,0.52,0.836,0.1,0.1,,
61.6,6,0.473,0.812,0.1,0.1,,
63.3,6,0.382,0.777,0.1,0.1,,
64.7,6,0.32,0.755,0.1,0.1,,
65.7,6,0.282,0.734,0.1,0.1,,
66.9,6,0.256,0.724,0.1,0.1,,
69.1,6,0.206,0.664,0.1,0.1,,
70.7,6,0.17,0.604,0.1,0.1,,
72.5,6,0.135,0.535,0.1,0.1,,
73.1,6,0.117,0.515,0.1,0.1,,
75.5,6,0.092,0.4,0.1,0.1,,
76.7,6,0.075,0.35,0.1,0.1,,
77.6,6,0.064,0.32,0.1,0.1,,
79.0,6,0.05,0.265,0.1,0.1,,
