"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
273.06,7.72,0.0996,0.4101,+- 0.02,0.1%,,
273.06,10.53,0.1905,0.5818,+- 0.02,0.1%,,
273.06,11.79,0.2308,0.6329,+- 0.02,0.1%,,
273.06,15.24,0.3402,0.7316,+- 0.02,0.1%,,
273.06,17.66,0.4157,0.7793,+- 0.02,0.1%,,
273.06,20.13,0.4915,0.8175,+- 0.02,0.1%,,
273.06,22.0,0.5466,0.841,+- 0.02,0.1%,,
273.06,24.53,0.6212,0.8693,+- 0.02,0.1%,,
273.06,25.96,0.6617,0.8832,+- 0.02,0.1%,,
273.06,29.13,0.7478,0.9111,+- 0.02,0.1%,,
273.06,32.15,0.8238,0.935,+- 0.02,0.1%,,
273.06,35.41,0.898,0.9593,+- 0.02,0.1%,,
273.06,38.69,0.9635,0.9836,+- 0.02,0.1%,,
