"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
323.15,59.054,0.0,,+-0.005,+-0.006,,
323.15,55.061,0.0711,,+-0.005,+-0.006,,
323.15,52.093,0.1241,,+-0.005,+-0.006,,
323.15,47.956,0.1976,,+-0.005,+-0.006,,
323.15,43.302,0.2802,,+-0.005,+-0.006,,
323.15,38.717,0.3631,,+-0.005,+-0.006,,
323.15,35.478,0.4209,,+-0.005,+-0.006,,
323.15,33.347,0.4587,,+-0.005,+-0.006,,
323.15,30.913,0.5015,,+-0.005,+-0.006,,
323.15,28.014,0.5525,,+-0.005,+-0.006,,
323.15,23.873,0.6278,,+-0.005,+-0.006,,
323.15,19.533,0.7078,,+-0.005,+-0.006,,
323.15,14.86,0.795,,+-0.005,+-0.006,,
323.15,9.523,0.8999,,+-0.005,+-0.006,,
323.15,4.722,1.0,,+-0.005,+-0.006,,
