"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
94.0,97.2,0.037,0.113,+-0.02,+-0.1,0.0058,0.005
91.0,97.2,0.097,0.253,+-0.02,+-0.1,0.0058,0.005
88.5,97.2,0.177,0.376,+-0.02,+-0.1,0.0058,0.005
88.3,97.2,0.194,0.388,+-0.02,+-0.1,0.0058,0.005
86.5,97.2,0.302,0.477,+-0.02,+-0.1,0.0058,0.005
85.4,97.2,0.395,0.529,+-0.02,+-0.1,0.0058,0.005
85.2,97.2,0.41,0.531,+-0.02,+-0.1,0.0058,0.005
85.0,97.2,0.595,0.588,+-0.02,+-0.1,0.0058,0.005
85.0,97.2,0.97,,,,,
86.5,97.2,0.986,,,,,
88.1,97.2,0.99,,,,,
90.0,97.2,0.993,,,,,
91.0,97.2,0.995,,,,,
94.0,97.2,0.997,,,,,
95.0,97.2,0.998,,,,,
95.9,97.2,0.999,,,,,
98.0,97.2,1.0,,,,,
