"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
110.0,1.0,0.798,0.993,,,,
116.4,1.0,0.613,0.985,,,,
124.3,1.0,0.559,0.977,,,,
124.5,1.0,0.553,0.976,,,,
126.0,1.0,0.482,0.971,,,,
128.1,1.0,0.426,0.963,,,,
129.5,1.0,0.411,0.962,,,,
130.5,1.0,0.388,0.955,,,,
131.2,1.0,0.365,0.952,,,,
135.2,1.0,0.289,0.926,,,,
136.0,1.0,0.283,0.924,,,,
138.0,1.0,0.241,0.909,,,,
142.5,1.0,0.216,0.887,,,,
149.0,1.0,0.178,0.852,,,,
158.1,1.0,0.129,0.776,,,,
167.4,1.0,0.102,0.706,,,,
178.6,1.0,0.065,0.563,,,,
184.2,1.0,0.034,0.379,,,,
