"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
35,51.9,0.0407,0.1384,+-0.03,+-0.05,,
35,55.8,0.0712,0.2247,+-0.03,+-0.05,,
35,64.4,0.1381,0.377,+-0.03,+-0.05,,
35,72.5,0.2001,0.4839,+-0.03,+-0.05,,
35,81.4,0.2701,0.5804,+-0.03,+-0.05,,
35,95.0,0.3762,0.6915,+-0.03,+-0.05,,
35,99.4,0.4111,0.7215,+-0.03,+-0.05,,
35,109.6,0.4943,0.7831,+-0.03,+-0.05,,
35,118.2,0.5621,0.8251,+-0.03,+-0.05,,
35,124.7,0.6145,0.8533,+-0.03,+-0.05,,
35,130.4,0.6589,0.8753,+-0.03,+-0.05,,
35,140.1,0.7346,0.9094,+-0.03,+-0.05,,
35,147.9,0.7971,0.9342,+-0.03,+-0.05,,
35,158.6,0.8834,0.9646,+-0.03,+-0.05,,
