"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
422.25,1.32,0.153,,+-0.05,+-0.01,0.001,
431.64,1.635,0.153,,+-0.05,+-0.01,0.001,
441.21,2.01,0.153,,+-0.05,+-0.01,0.001,
451.24,2.475,0.153,,+-0.05,+-0.01,0.001,
462.47,3.085,0.153,,+-0.05,+-0.01,0.001,
472.01,3.688,0.153,,+-0.05,+-0.01,0.001,
481.87,4.388,0.153,,+-0.05,+-0.01,0.001,
491.55,5.163,0.153,,+-0.05,+-0.01,0.001,
501.17,6.028,0.153,,+-0.05,+-0.01,0.001,
510.46,6.913,0.153,,+-0.05,+-0.01,0.001,
519.35,7.548,0.153,,+-0.05,+-0.01,0.001,
519.5,7.55,0.153,,+-0.05,+-0.01,0.001,
