"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
104.4,27.97,0.019,0.322,+- 0.05,+- 0.05,+- 0.04,+- 0.04
104.4,41.19,0.037,0.48,+- 0.05,+- 0.05,+- 0.04,+- 0.04
104.4,53.32,0.053,0.566,+- 0.05,+- 0.05,+- 0.04,+- 0.04
104.4,64.82,0.071,0.621,+- 0.05,+- 0.05,+- 0.04,+- 0.04
104.4,76.76,0.084,0.662,+- 0.05,+- 0.05,+- 0.04,+- 0.04
104.4,89.07,0.106,0.695,+- 0.05,+- 0.05,+- 0.04,+- 0.04
104.4,101.86,0.119,0.719,+- 0.05,+- 0.05,+- 0.04,+- 0.04
104.4,116.1,0.143,0.739,+- 0.05,+- 0.05,+- 0.04,+- 0.04
104.4,126.91,0.153,0.75,+- 0.05,+- 0.05,+- 0.04,+- 0.04
104.4,139.55,0.175,0.753,+- 0.05,+- 0.05,+- 0.04,+- 0.04
104.4,152.59,0.195,0.759,+- 0.05,+- 0.05,+- 0.04,+- 0.04
104.4,165.19,0.217,0.76,+- 0.05,+- 0.05,+- 0.04,+- 0.04
