"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
474.8,200,0.055,0.34,0.5,,,
460.2,200,0.093,0.518,0.5,,,
457.6,200,0.112,0.523,0.5,,,
430.5,200,0.203,0.721,0.5,,,
424.0,200,0.223,0.768,0.5,,,
418.0,200,0.236,0.82,0.5,,,
404.3,200,0.33,0.86,0.5,,,
389.7,200,0.394,0.901,0.5,,,
383.2,200,0.46,0.935,0.5,,,
364.6,200,0.585,0.962,0.5,,,
349.8,200,0.715,0.982,0.5,,,
