"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
125.0,0.712,0.0,0.0,+-0.1,+-0.15%,,
125.0,1.28,0.0333,0.4047,+-0.1,+-0.15%,,
125.0,1.866,0.0774,0.5601,+-0.1,+-0.15%,,
125.0,2.519,0.1482,0.6762,+-0.1,+-0.15%,,
125.0,2.965,0.3198,0.7354,+-0.1,+-0.15%,,
125.0,3.289,0.5844,0.789,+-0.1,+-0.15%,,
125.0,3.429,0.7815,0.8157,+-0.1,+-0.15%,,
125.0,3.438,0.832,0.832,+-0.1,+-0.15%,,
125.0,3.435,0.8525,0.8457,+-0.1,+-0.15%,,
125.0,3.412,0.8793,0.8666,+-0.1,+-0.15%,,
125.0,3.264,0.9647,0.9406,+-0.1,+-0.15%,,
125.0,3.161,0.9898,0.9765,+-0.1,+-0.15%,,
125.0,3.138,0.9943,0.9847,+-0.1,+-0.15%,,
125.0,3.104,1.0,1.0,+-0.1,+-0.15%,,
