"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
79.9,760,0.021,0.025,,+-0.2,,
79.7,760,0.061,0.072,,+-0.2,,
79.2,760,0.124,0.144,,+-0.2,,
78.8,760,0.188,0.213,,+-0.2,,
78.5,760,0.251,0.281,,+-0.2,,
78.1,760,0.313,0.344,,+-0.2,,
77.8,760,0.376,0.407,,+-0.2,,
77.6,760,0.439,0.467,,+-0.2,,
77.3,760,0.495,0.52,,+-0.2,,
77.3,760,0.501,0.525,,+-0.2,,
77.1,760,0.559,0.582,,+-0.2,,
77.0,760,0.622,0.641,,+-0.2,,
76.8,760,0.686,0.701,,+-0.2,,
76.7,760,0.751,0.76,,+-0.2,,
76.7,760,0.815,0.82,,+-0.2,,
76.7,760,0.878,0.881,,+-0.2,,
76.7,760,0.939,0.941,,+-0.2,,
76.7,760,0.978,0.979,,+-0.2,,
