"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
82.9,760,0.0917,0.3023,+-0.1,+-1,+-0.5%,+-0.5%
80.15,760,0.1313,0.3976,+-0.1,+-1,+-0.5%,+-0.5%
76.3,760,0.1915,0.5,+-0.1,+-1,+-0.5%,+-0.5%
72.62,760,0.2497,0.5852,+-0.1,+-1,+-0.5%,+-0.5%
66.15,760,0.3852,0.7319,+-0.1,+-1,+-0.5%,+-0.5%
64.8,760,0.4094,0.7623,+-0.1,+-1,+-0.5%,+-0.5%
61.6,760,0.494,0.8147,+-0.1,+-1,+-0.5%,+-0.5%
56.8,760,0.6318,0.8871,+-0.1,+-1,+-0.5%,+-0.5%
55.7,760,0.6573,0.8948,+-0.1,+-1,+-0.5%,+-0.5%
54.8,760,0.6939,0.9142,+-0.1,+-1,+-0.5%,+-0.5%
52.4,760,0.7595,0.9242,+-0.1,+-1,+-0.5%,+-0.5%
50.1,760,0.8413,0.9544,+-0.1,+-1,+-0.5%,+-0.5%
