"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
351.17,8.85,0.0,0.0,+-0.005,,,
342.75,8.85,0.133,0.216,+-0.005,,,
335.81,8.85,0.278,0.466,+-0.005,,,
334.75,8.85,0.357,0.498,+-0.005,,,
333.62,8.85,0.357,0.534,+-0.005,,,
331.06,8.85,0.402,0.595,+-0.005,,,
324.06,8.85,0.6,0.772,+-0.005,,,
321.75,8.85,0.666,0.803,+-0.005,,,
320.31,8.85,0.71,0.827,+-0.005,,,
319.85,8.85,0.723,0.839,+-0.005,,,
316.96,8.85,0.794,0.892,+-0.005,,,
315.28,8.85,0.812,0.909,+-0.005,,,
313.1,8.85,0.867,0.947,+-0.005,,,
310.39,8.85,1.0,1.0,+-0.005,,,
