"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
270.0,2.21,0.0,0.0,0.1%,0.1%,,
270.0,2.307,0.008,0.0347,0.1%,0.1%,,
270.0,2.486,0.0235,0.0926,0.1%,0.1%,,
270.0,2.606,0.033,0.1247,0.1%,0.1%,,
270.0,2.819,0.0498,0.1728,0.1%,0.1%,,
270.0,3.03,0.0682,0.2211,0.1%,0.1%,,
270.0,3.44,0.1031,0.2852,0.1%,0.1%,,
270.0,3.916,0.1443,0.3591,0.1%,0.1%,,
270.0,4.882,0.2256,0.443,0.1%,0.1%,,
270.0,5.463,0.2763,0.4722,0.1%,0.1%,,
270.0,5.809,0.3088,0.4831,0.1%,0.1%,,
270.0,6.139,0.3516,0.4874,0.1%,0.1%,,
270.0,6.282,0.3684,0.4869,0.1%,0.1%,,
270.0,6.34,0.3751,0.4855,0.1%,0.1%,,
270.0,6.474,0.3922,0.4811,0.1%,0.1%,,
