"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
20.0,95.2,0.0,0.0,+-0.05,+-0.1,2%,2%
20.0,99.7,0.0138,0.051,+-0.05,+-0.1,2%,2%
20.0,107.1,0.037,0.12,+-0.05,+-0.1,2%,2%
20.0,127.7,0.103,0.296,+-0.05,+-0.1,2%,2%
20.0,149.4,0.173,0.442,+-0.05,+-0.1,2%,2%
20.0,175.2,0.252,0.556,+-0.05,+-0.1,2%,2%
20.0,197.0,0.32,0.628,+-0.05,+-0.1,2%,2%
20.0,227.7,0.427,0.712,+-0.05,+-0.1,2%,2%
20.0,273.4,0.567,0.804,+-0.05,+-0.1,2%,2%
20.0,297.7,0.633,0.847,+-0.05,+-0.1,2%,2%
20.0,333.9,0.747,0.895,+-0.05,+-0.1,2%,2%
20.0,363.5,0.831,0.932,+-0.05,+-0.1,2%,2%
20.0,386.5,0.898,0.959,+-0.05,+-0.1,2%,2%
20.0,408.5,0.9605,0.981,+-0.05,+-0.1,2%,2%
20.0,422.4,1.0,1.0,+-0.05,+-0.1,2%,2%
