"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
313.15,0.526,0.0,0.0,0.05,0.005,,
313.15,0.589,0.072,0.155,0.05,0.005,,
313.15,0.596,0.079,0.172,0.05,0.005,,
313.15,0.618,0.095,0.2,0.05,0.005,,
313.15,0.72,0.211,0.392,0.05,0.005,,
313.15,0.769,0.269,0.472,0.05,0.005,,
313.15,0.799,0.321,0.525,0.05,0.005,,
313.15,0.906,0.406,0.61,0.05,0.005,,
313.15,0.965,0.469,0.677,0.05,0.005,,
313.15,1.059,0.563,0.749,0.05,0.005,,
313.15,1.063,0.574,0.761,0.05,0.005,,
313.15,1.113,0.631,0.803,0.05,0.005,,
313.15,1.138,0.653,0.815,0.05,0.005,,
313.15,1.23,0.736,0.869,0.05,0.005,,
313.15,1.287,0.8,0.906,0.05,0.005,,
313.15,1.304,0.804,0.908,0.05,0.005,,
313.15,1.347,0.837,0.925,0.05,0.005,,
313.15,1.534,1.0,1.0,0.05,0.005,,
