"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
270,0.496,0.0469,0.1864,0.015,0.0005,,
270,0.5058,0.0493,0.1997,0.015,0.0005,,
270,0.5308,0.072,0.2575,0.015,0.0005,,
270,0.5361,0.076,0.269,0.015,0.0005,,
270,0.547,0.0831,0.2903,0.015,0.0005,,
270,0.6335,0.1422,0.4281,0.015,0.0005,,
270,0.6477,0.1519,0.4413,0.015,0.0005,,
270,0.6588,0.1567,0.4529,0.015,0.0005,,
270,0.7191,0.2001,0.5218,0.015,0.0005,,
270,0.7348,0.2098,0.5391,0.015,0.0005,,
270,0.7509,0.2203,0.5542,0.015,0.0005,,
270,0.8343,0.274,0.6103,0.015,0.0005,,
270,0.8544,0.2878,0.6281,0.015,0.0005,,
270,0.875,0.2996,0.6409,0.015,0.0005,,
270,1.0921,0.4331,0.7508,0.015,0.0005,,
270,1.1193,0.4497,0.762,0.015,0.0005,,
270,1.1506,0.4623,0.7724,0.015,0.0005,,
270,1.4356,0.6288,0.8611,0.015,0.0005,,
270,1.4673,0.6437,0.8674,0.015,0.0005,,
270,1.4895,0.6469,0.8733,0.015,0.0005,,
270,1.9169,0.8686,0.9551,0.015,0.0005,,
270,1.938,0.8801,0.959,0.015,0.0005,,
270,1.972,0.8957,0.9653,0.015,0.0005,,
