"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
333.19,0.462,0.2996,,0.02,0.01,,
343.22,0.576,0.2996,,0.02,0.01,,
353.19,0.704,0.2996,,0.02,0.01,,
363.22,0.852,0.2996,,0.02,0.01,,
373.21,1.018,0.2996,,0.02,0.01,,
383.26,1.204,0.2996,,0.02,0.01,,
393.23,1.416,0.2996,,0.02,0.01,,
403.27,1.642,0.2996,,0.02,0.01,,
413.28,1.897,0.2996,,0.02,0.01,,
423.25,2.179,0.2996,,0.02,0.01,,
433.21,2.49,0.2996,,0.02,0.01,,
443.2,2.836,0.2996,,0.02,0.01,,
453.21,3.218,0.2996,,0.02,0.01,,
463.2,3.633,0.2996,,0.02,0.01,,
473.19,4.091,0.2996,,0.02,0.01,,
483.16,4.579,0.2996,,0.02,0.01,,
488.18,4.829,0.2996,,0.02,0.01,,
493.17,5.066,0.2996,,0.02,0.01,,
498.11,5.245,0.2996,,0.02,0.01,,
500.11,5.27,0.2996,,0.02,0.01,,
500.22,5.271,0.2996,,0.02,0.01,,
