"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
314.83,3.5,0.0,0.0,+-0.005,,,
310.19,3.5,0.087,0.209,+-0.005,,,
308.67,3.5,0.087,0.202,+-0.005,,,
305.87,3.5,0.155,0.305,+-0.005,,,
305.62,3.5,0.177,0.35,+-0.005,,,
304.88,3.5,0.181,0.354,+-0.005,,,
300.0,3.5,0.31,0.551,+-0.005,,,
296.11,3.5,0.378,0.652,+-0.005,,,
293.1,3.5,0.478,0.714,+-0.005,,,
289.04,3.5,0.576,0.798,+-0.005,,,
286.07,3.5,0.682,0.864,+-0.005,,,
285.17,3.5,0.71,0.874,+-0.005,,,
280.09,3.5,0.882,0.925,+-0.005,,,
279.68,3.5,0.908,0.961,+-0.005,,,
277.6,3.5,1.0,1.0,+-0.005,,,
