"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
116.0,760,0.015,0.15,0.1,,0.005,0.005
113.0,760,0.024,0.229,0.1,,0.005,0.005
109.1,760,0.05,0.335,0.1,,0.005,0.005
104.4,760,0.082,0.43,0.1,,0.005,0.005
102.8,760,0.1,0.46,0.1,,0.005,0.005
99.9,760,0.15,0.516,0.1,,0.005,0.005
98.1,760,0.2,0.56,0.1,,0.005,0.005
97.1,760,0.24,0.577,0.1,,0.005,0.005
95.7,760,0.336,0.618,0.1,,0.005,0.005
95.0,760,0.4,0.63,0.1,,0.005,0.005
94.7,760,0.476,0.638,0.1,,0.005,0.005
94.2,760,0.6,0.665,0.1,,0.005,0.005
94.0,760,0.703,0.702,0.1,,0.005,0.005
94.3,760,0.827,0.773,0.1,,0.005,0.005
95.0,760,0.9,0.845,0.1,,0.005,0.005
95.9,760,0.949,0.91,0.1,,0.005,0.005
