"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
290.13,24.6,0.486,,0.4,0.6,0.005,
295.09,24.68,0.486,,0.4,0.6,0.005,
300.12,24.74,0.486,,0.4,0.6,0.005,
304.95,24.8,0.486,,0.4,0.6,0.005,
309.9,24.86,0.486,,0.4,0.6,0.005,
314.75,24.94,0.486,,0.4,0.6,0.005,
319.91,24.98,0.486,,0.4,0.6,0.005,
324.75,25.04,0.486,,0.4,0.6,0.005,
334.8,25.14,0.486,,0.4,0.6,0.005,
344.24,25.24,0.486,,0.4,0.6,0.005,
353.94,25.32,0.486,,0.4,0.6,0.005,
363.94,25.38,0.486,,0.4,0.6,0.005,
373.93,25.44,0.486,,0.4,0.6,0.005,
384.65,25.49,0.486,,0.4,0.6,0.005,
394.85,25.51,0.486,,0.4,0.6,0.005,
