"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
221.1,6.26,0.0,0.0,+-0.3,,,
221.1,9.08,0.0988,0.322,+-0.3,,,
221.1,11.0,0.17,0.452,+-0.3,,,
221.1,12.64,0.245,0.551,+-0.3,,,
221.1,15.23,0.349,0.645,+-0.3,,,
221.1,17.48,0.456,0.722,+-0.3,,,
221.1,19.79,0.554,0.767,+-0.3,,,
221.1,19.79,0.562,0.777,+-0.3,,,
221.1,22.32,0.697,0.835,+-0.3,,,
221.1,22.84,0.719,0.855,+-0.3,,,
221.1,24.73,0.915,0.949,+-0.3,,,
221.1,25.63,0.932,0.959,+-0.3,,,
221.1,25.67,0.933,0.958,+-0.3,,,
221.1,26.0,0.994,0.996,+-0.3,,,
221.1,26.16,1.0,1.0,+-0.3,,,
