"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.15,26217,1.0,1.0,+-0.002,+-25,,
298.15,27143,0.8937,0.8717,+-0.002,+-25,,
298.15,27471,0.7898,0.7799,+-0.002,+-25,,
298.15,27451,0.7015,0.714,+-0.002,+-25,,
298.15,27202,0.6013,0.6445,+-0.002,+-25,,
298.15,26752,0.5022,0.5755,+-0.002,+-25,,
298.15,26090,0.4052,0.503,+-0.002,+-25,,
298.15,27320,0.6169,0.6552,+-0.002,+-25,,
298.15,26923,0.5345,0.5984,+-0.002,+-25,,
298.15,26373,0.4442,0.5331,+-0.002,+-25,,
298.15,25551,0.3455,0.4538,+-0.002,+-25,,
298.15,24390,0.2441,0.3579,+-0.002,+-25,,
298.15,22725,0.1312,0.223,+-0.002,+-25,,
298.15,20141,0.0,0.0,+-0.002,+-25,,
