"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.52,230488,0.0836,,0.003,+-0.01,,
322.89,460283,0.0836,,0.003,+-0.01,,
298.44,204081,0.2124,,0.003,+-0.01,,
322.88,408517,0.2124,,0.003,+-0.01,,
298.46,186942,0.2992,,0.003,+-0.01,,
322.89,374760,0.2992,,0.003,+-0.01,,
298.48,164317,0.4149,,0.003,+-0.01,,
322.9,330113,0.4149,,0.003,+-0.01,,
298.42,147528,0.4978,,0.003,+-0.01,,
322.89,298045,0.4978,,0.003,+-0.01,,
