"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
323,5.09,0.1841,,0.2,,,
323,5.98,0.2199,0.9097,0.2,,,
323,7.1,0.2517,0.9185,0.2,,,
323,8.06,0.2868,0.9119,0.2,,,
323,9.0,0.3094,0.9161,0.2,,,
323,9.98,0.3408,0.9151,0.2,,,
323,11.21,0.3753,0.9132,0.2,,,
323,12.0,0.4038,0.908,0.2,,,
323,13.01,0.4362,0.918,0.2,,,
323,14.03,0.4715,0.8936,0.2,,,
323,15.0,0.5013,0.8848,0.2,,,
323,16.0,0.5397,0.8672,0.2,,,
323,16.46,0.5596,0.8593,0.2,,,
323,17.02,0.5878,0.8488,0.2,,,
323,17.49,0.6085,0.834,0.2,,,
323,17.7,0.6178,0.8286,0.2,,,
323,17.91,0.6286,0.8176,0.2,,,
323,18.05,0.6438,0.8119,0.2,,,
323,18.21,0.6565,0.8004,0.2,,,
323,18.36,0.6807,0.7837,0.2,,,
323,18.4,0.6953,0.784,0.2,,,
323,18.43,0.7109,0.7763,0.2,,,
