"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
80.0,0.182,0.0,0.0,,,,
80.0,0.221,0.014,0.214,,,,
80.0,0.269,0.021,0.258,,,,
80.0,0.352,0.053,0.498,,,,
80.0,0.434,0.081,0.594,,,,
80.0,0.565,0.123,0.671,,,,
80.0,0.621,0.133,0.69,,,,
80.0,0.689,0.158,0.713,,,,
80.0,0.717,0.167,0.726,,,,
80.0,0.876,0.229,0.784,,,,
80.0,0.972,0.27,0.808,,,,
80.0,1.027,0.294,0.818,,,,
80.0,1.172,0.363,0.839,,,,
80.0,1.344,0.454,0.869,,,,
80.0,1.517,0.557,0.888,,,,
80.0,1.655,0.65,0.902,,,,
80.0,1.8,0.749,0.924,,,,
80.0,1.944,0.86,0.945,,,,
80.0,2.041,0.917,0.963,,,,
80.0,2.243,1.0,1.0,,,,
