"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
51.36,190,1.0,1.0,,,,
50.62,190,0.952,0.923,,,,
50.0,190,0.887,0.839,,,,
49.86,190,0.8545,0.8035,,,,
49.55,190,0.794,0.75,,,,
49.4,190,0.758,0.7235,,,,
49.39,190,0.753,0.72,,,,
49.23,190,0.7075,0.691,,,,
49.35,190,0.686,0.679,,,,
49.33,190,0.6645,0.667,,,,
49.34,190,0.589,0.634,,,,
49.32,190,0.571,0.627,,,,
49.57,190,0.4765,0.5955,,,,
49.97,190,0.386,0.5725,,,,
50.41,190,0.2725,0.551,,,,
50.47,190,0.2115,0.5385,,,,
50.81,190,0.1625,0.5255,,,,
51.12,190,0.15,0.521,,,,
51.99,190,0.084,0.484,,,,
54.7,190,0.0485,0.4045,,,,
57.66,190,0.03,0.294,,,,
60.41,190,0.0175,0.1915,,,,
62.86,190,0.0075,0.0985,,,,
65.29,190,0.0,0.0,,,,
