"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
40,366.8,,0.7465,0.02,0.2,0.0008,0.0008
40,366.8,,0.7468,0.02,0.2,0.0008,0.0008
40,646.6,0.0373,0.8404,0.02,0.2,0.0008,0.0008
40,646.6,0.0383,0.8399,0.02,0.2,0.0008,0.0008
40,980.1,0.05,0.8817,0.02,0.2,0.0008,0.0008
40,980.1,0.0519,0.8812,0.02,0.2,0.0008,0.0008
40,1624.8,0.0866,0.9135,0.02,0.2,0.0008,0.0008
40,1624.8,0.0877,0.9131,0.02,0.2,0.0008,0.0008
40,2584.8,0.1339,0.9288,0.02,0.2,0.0008,0.0008
40,2584.8,0.1348,0.9265,0.02,0.2,0.0008,0.0008
40,3570.7,,0.9373,0.02,0.2,0.0008,0.0008
40,3570.7,,0.9334,0.02,0.2,0.0008,0.0008
40,4106.6,,0.9342,0.02,0.2,0.0008,0.0008
40,4106.6,,0.9334,0.02,0.2,0.0008,0.0008
40,4106.7,0.2122,,0.02,0.2,0.0008,0.0008
40,4106.7,0.2138,,0.02,0.2,0.0008,0.0008
40,4681.0,,0.9337,0.02,0.2,0.0008,0.0008
40,4681.0,,0.9352,0.02,0.2,0.0008,0.0008
40,6032.5,0.301,0.9309,0.02,0.2,0.0008,0.0008
40,6032.5,0.3005,0.9314,0.02,0.2,0.0008,0.0008
40,7213.5,0.3498,0.9361,0.02,0.2,0.0008,0.0008
40,7213.5,0.3513,0.9257,0.02,0.2,0.0008,0.0008
