"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
390.25,100,0.0,0.0,+-0.1,+-0.01,0.001,0.001
389.15,100,0.011,0.052,+-0.1,+-0.01,0.001,0.001
388.05,100,0.023,0.1,+-0.1,+-0.01,0.001,0.001
385.55,100,0.044,0.194,+-0.1,+-0.01,0.001,0.001
383.15,100,0.076,0.288,+-0.1,+-0.01,0.001,0.001
379.65,100,0.117,0.403,+-0.1,+-0.01,0.001,0.001
376.15,100,0.172,0.499,+-0.1,+-0.01,0.001,0.001
372.75,100,0.227,0.576,+-0.1,+-0.01,0.001,0.001
369.85,100,0.295,0.648,+-0.1,+-0.01,0.001,0.001
367.55,100,0.351,0.692,+-0.1,+-0.01,0.001,0.001
365.55,100,0.412,0.74,+-0.1,+-0.01,0.001,0.001
363.95,100,0.478,0.772,+-0.1,+-0.01,0.001,0.001
362.65,100,0.546,0.802,+-0.1,+-0.01,0.001,0.001
361.95,100,0.608,0.821,+-0.1,+-0.01,0.001,0.001
360.85,100,0.668,0.84,+-0.1,+-0.01,0.001,0.001
360.35,100,0.727,0.858,+-0.1,+-0.01,0.001,0.001
359.85,100,0.781,0.871,+-0.1,+-0.01,0.001,0.001
359.55,100,0.831,0.885,+-0.1,+-0.01,0.001,0.001
359.25,100,0.871,0.902,+-0.1,+-0.01,0.001,0.001
359.05,100,0.905,0.919,+-0.1,+-0.01,0.001,0.001
359.05,100,0.93,0.934,+-0.1,+-0.01,0.001,0.001
359.05,100,0.95,0.948,+-0.1,+-0.01,0.001,0.001
359.05,100,0.966,0.963,+-0.1,+-0.01,0.001,0.001
359.15,100,0.98,0.976,+-0.1,+-0.01,0.001,0.001
359.25,100,0.989,0.986,+-0.1,+-0.01,0.001,0.001
359.25,100,0.996,0.995,+-0.1,+-0.01,0.001,0.001
359.25,100,1.0,1.0,+-0.1,+-0.01,0.001,0.001
