"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
85.13,70,0.0,0.0,0.02,,0.0005,0.0005
80.0,70,0.042,0.09,0.02,,0.0005,0.0005
75.0,70,0.086,0.16,0.02,,0.0005,0.0005
70.0,70,0.131,0.226,0.02,,0.0005,0.0005
65.0,70,0.184,0.3,0.02,,0.0005,0.0005
60.0,70,0.243,0.369,0.02,,0.0005,0.0005
55.0,70,0.312,0.442,0.02,,0.0005,0.0005
50.0,70,0.398,0.532,0.02,,0.0005,0.0005
45.0,70,0.489,0.601,0.02,,0.0005,0.0005
40.0,70,0.615,0.687,0.02,,0.0005,0.0005
35.0,70,0.765,0.796,0.02,,0.0005,0.0005
30.0,70,0.967,0.969,0.02,,0.0005,0.0005
29.26,70,1.0,1.0,0.02,,0.0005,0.0005
