"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
280.0,27.6,0.0,0.0,,,,
280.0,28.5,0.0081,0.0279,,,,
280.0,30.35,0.0231,0.0744,,,,
280.0,31.62,0.0335,0.1036,,,,
280.0,36.08,0.0693,0.1864,,,,
280.0,39.85,0.0996,0.2404,,,,
280.0,43.58,0.1292,0.2818,,,,
280.0,46.5,0.1528,0.3091,,,,
280.0,49.75,0.1798,0.3336,,,,
280.0,52.6,0.2044,0.3512,,,,
280.0,55.72,0.2333,0.3654,,,,
280.0,59.06,0.2668,0.3719,,,,
280.0,60.07,0.2774,0.3711,,,,
280.0,60.51,,0.3699,,,,
280.0,61.1,0.2913,0.3675,,,,
280.0,61.84,0.3046,0.3609,,,,
280.0,62.1,0.3109,0.3557,,,,
