"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
298.15,76.0,0.117,0.742,,,,
298.15,90.4,0.208,0.788,,,,
298.15,98.7,0.305,0.826,,,,
298.15,104.6,0.401,0.837,,,,
298.15,109.4,0.498,0.845,,,,
298.15,113.0,0.583,0.862,,,,
298.15,117.3,0.698,0.881,,,,
298.15,121.0,0.801,0.905,,,,
298.15,124.3,0.896,0.932,,,,
