"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
76.5,202,0.0027,0.9098,+-0.5,1,,
76.5,202,0.0026,0.9113,+-0.5,1,,
76.5,202,0.0027,0.9124,+-0.5,1,,
76.5,202,0.0026,0.9113,+-0.5,1,,
76.5,202,0.0027,0.9107,+-0.5,1,,
76.5,202,0.0026,,+-0.5,1,,
76.5,402,0.0036,0.9587,+-0.5,1,,
76.5,402,0.0032,0.9558,+-0.5,1,,
76.5,402,0.0033,0.959,+-0.5,1,,
76.5,402,,0.9558,+-0.5,1,,
76.5,601,0.006,0.9697,+-0.5,1,,
76.5,601,0.0065,0.9706,+-0.5,1,,
76.5,601,0.006,0.9702,+-0.5,1,,
76.5,808,0.0093,0.9759,+-0.5,1,,
76.5,808,0.0089,0.9759,+-0.5,1,,
76.5,808,0.0092,0.9759,+-0.5,1,,
76.5,1002,0.0107,0.9796,+-0.5,1,,
76.5,1002,0.0107,0.9796,+-0.5,1,,
76.5,1002,0.0107,0.9796,+-0.5,1,,
76.5,1206,0.013,0.9828,+-0.5,1,,
76.5,1206,0.0132,0.9837,+-0.5,1,,
76.5,1206,0.0131,0.9832,+-0.5,1,,
76.5,1395,0.0154,0.9826,+-0.5,1,,
76.5,1395,0.0152,0.9835,+-0.5,1,,
76.5,1395,0.0149,0.9818,+-0.5,1,,
76.5,1603,0.0172,0.9842,+-0.5,1,,
76.5,1603,0.0172,0.983,+-0.5,1,,
76.5,1603,0.0172,,+-0.5,1,,
76.5,1800,0.0192,0.9844,+-0.5,1,,
76.5,1800,0.0194,0.9844,+-0.5,1,,
76.5,1800,0.0192,,+-0.5,1,,
76.5,1800,0.0191,,+-0.5,1,,
76.5,2006,0.0213,0.9858,+-0.5,1,,
76.5,2006,0.0215,0.9862,+-0.5,1,,
76.5,2006,0.0212,0.9858,+-0.5,1,,
