"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
73.9,98.67,1.0,1.0,0.1,0.067,,
79.2,98.67,0.814,0.975,0.1,0.067,,
81.9,98.67,0.725,0.962,0.1,0.067,,
86.0,98.67,0.616,0.939,0.1,0.067,,
92.9,98.67,0.459,0.882,0.1,0.067,,
97.8,98.67,0.372,0.835,0.1,0.067,,
103.5,98.67,0.286,0.78,0.1,0.067,,
108.1,98.67,0.225,0.71,0.1,0.067,,
111.2,98.67,0.193,0.66,0.1,0.067,,
115.5,98.67,0.148,0.59,0.1,0.067,,
121.4,98.67,0.103,0.48,0.1,0.067,,
124.1,98.67,0.08,0.43,0.1,0.067,,
126.6,98.67,0.063,0.37,0.1,0.067,,
131.0,98.67,0.035,0.25,0.1,0.067,,
133.5,98.67,0.024,0.18,0.1,0.067,,
136.1,98.67,0.012,0.1,0.1,0.067,,
138.8,98.67,0.0,0.0,0.1,0.067,,
