"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
343.15,0.0537,0.0,0.0,+- 0.01,+-0.00013,+-0.001,+-0.001
343.17,0.335,0.268,0.874,+- 0.01,+-0.00013,+-0.001,+-0.001
343.15,0.385,0.338,0.895,+- 0.01,+-0.00013,+-0.001,+-0.001
343.2,0.434,0.424,0.915,+- 0.01,+-0.00013,+-0.001,+-0.001
343.17,0.489,0.517,0.93,+- 0.01,+-0.00013,+-0.001,+-0.001
343.15,0.59,0.729,0.96,+- 0.01,+-0.00013,+-0.001,+-0.001
343.18,0.637,0.829,0.973,+- 0.01,+-0.00013,+-0.001,+-0.001
343.14,0.6959,0.947,0.992,+- 0.01,+-0.00013,+-0.001,+-0.001
343.15,0.7261,1.0,1.0,+- 0.01,+-0.00013,+-0.001,+-0.001
353.15,0.0847,0.0,0.0,+- 0.01,+-0.00013,+-0.001,+-0.001
353.13,0.349,0.173,0.791,+- 0.01,+-0.00013,+-0.001,+-0.001
353.14,0.46,0.269,0.85,+- 0.01,+-0.00013,+-0.001,+-0.001
353.14,0.529,0.34,0.877,+- 0.01,+-0.00013,+-0.001,+-0.001
353.17,0.593,0.415,0.899,+- 0.01,+-0.00013,+-0.001,+-0.001
353.19,0.671,0.507,0.918,+- 0.01,+-0.00013,+-0.001,+-0.001
353.16,0.747,0.635,0.94,+- 0.01,+-0.00013,+-0.001,+-0.001
353.16,0.8099,0.729,0.954,+- 0.01,+-0.00013,+-0.001,+-0.001
353.17,0.871,0.821,0.968,+- 0.01,+-0.00013,+-0.001,+-0.001
353.19,0.945,0.95,0.99,+- 0.01,+-0.00013,+-0.001,+-0.001
353.15,0.9931,1.0,1.0,+- 0.01,+-0.00013,+-0.001,+-0.001
