"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
313.15,2.069,0.499,0.997,0.002,0.001,,
313.15,2.683,0.5987,0.9969,0.002,0.001,,
313.15,3.255,0.6673,0.9969,0.002,0.001,,
313.15,3.302,0.671,0.9969,0.002,0.001,,
313.15,3.66,0.7064,0.9971,0.002,0.001,,
313.15,3.932,0.7312,0.9969,0.002,0.001,,
313.15,4.659,0.794,0.9972,0.002,0.001,,
313.15,4.682,0.796,0.9972,0.002,0.001,,
313.15,5.1,0.8285,0.9972,0.002,0.001,,
313.15,5.135,0.831,0.9971,0.002,0.001,,
313.15,5.613,0.8631,0.9967,0.002,0.001,,
313.15,6.088,0.8915,0.9968,0.002,0.001,,
313.15,6.589,0.9204,0.9962,0.002,0.001,,
313.15,6.739,0.9283,0.9964,0.002,0.001,,
313.15,7.121,0.9471,0.9967,0.002,0.001,,
313.15,7.568,0.9666,0.9964,0.002,0.001,,
313.15,7.765,0.9745,0.9962,0.002,0.001,,
313.15,8.085,0.9849,0.9956,0.002,0.001,,
313.15,8.228,0.9906,0.9942,0.002,0.001,,
