"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
77.19,760,0.95,0.951,+-0.025,5,,
77.23,760,0.912,0.914,+-0.025,5,,
77.29,760,0.857,0.86,+-0.025,5,,
77.31,760,0.841,0.845,+-0.025,5,,
77.32,760,0.834,0.838,+-0.025,5,,
77.38,760,0.774,0.78,+-0.025,5,,
77.49,760,0.697,0.707,+-0.025,5,,
77.67,760,0.587,0.605,+-0.025,5,,
77.84,760,0.528,0.547,+-0.025,5,,
78.12,760,0.441,0.465,+-0.025,5,,
78.19,760,0.422,0.448,+-0.025,5,,
78.43,760,0.359,0.387,+-0.025,5,,
78.66,760,0.3,0.329,+-0.025,5,,
78.96,760,0.23,0.256,+-0.025,5,,
79.28,760,0.16,0.184,+-0.025,5,,
79.4,760,0.136,0.157,+-0.025,5,,
79.77,760,0.06,0.071,+-0.025,5,,
79.95,760,0.027,0.033,+-0.025,5,,
80.01,760,0.016,0.02,+-0.025,5,,
