"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
373.6,31.6,0.0,0.0,0.2,0.13,0.2%,
373.6,35.28,0.0756,0.1664,0.2,0.13,0.2%,
373.6,37.61,0.13,0.2674,0.2,0.13,0.2%,
373.6,40.55,0.1947,0.3884,0.2,0.13,0.2%,
373.6,45.39,0.3026,0.5123,0.2,0.13,0.2%,
373.6,46.93,0.3279,0.5503,0.2,0.13,0.2%,
373.6,48.27,0.3707,0.5959,0.2,0.13,0.2%,
373.6,50.12,0.4148,0.6379,0.2,0.13,0.2%,
373.6,51.82,0.4569,0.672,0.2,0.13,0.2%,
373.6,53.63,0.4975,0.7069,0.2,0.13,0.2%,
373.6,55.95,0.5404,0.7449,0.2,0.13,0.2%,
373.6,57.27,0.5936,0.7841,0.2,0.13,0.2%,
373.6,61.34,0.6672,0.8333,0.2,0.13,0.2%,
373.6,66.11,0.7859,0.9004,0.2,0.13,0.2%,
373.6,68.73,0.8457,0.9278,0.2,0.13,0.2%,
373.6,71.2,0.8945,0.9545,0.2,0.13,0.2%,
373.6,75.56,1.0,1.0,0.2,0.13,0.2%,
