"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
81.1,1,0.903,0.992,+-0.1,,+-0.005,+-0.005
86.2,1,0.678,0.956,+-0.1,,+-0.005,+-0.005
90.4,1,0.565,0.922,+-0.1,,+-0.005,+-0.005
94.8,1,0.425,0.889,+-0.1,,+-0.005,+-0.005
101.0,1,0.31,0.842,+-0.1,,+-0.005,+-0.005
104.4,1,0.217,0.814,+-0.1,,+-0.005,+-0.005
121.4,1,0.049,0.455,+-0.1,,+-0.005,+-0.005
124.2,1,0.045,0.373,+-0.1,,+-0.005,+-0.005
127.0,1,0.035,0.268,+-0.1,,+-0.005,+-0.005
131.2,1,0.015,0.167,+-0.1,,+-0.005,+-0.005
134.2,1,0.009,0.075,+-0.1,,+-0.005,+-0.005
