"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
42.3,1.953,0.1677,0.9832,,,,
42.3,2.353,0.2042,0.9851,,,,
42.3,2.815,0.2384,0.9867,,,,
42.3,3.243,0.2767,0.9876,,,,
42.3,3.677,0.3196,0.9882,,,,
42.3,4.08,0.3604,0.9886,,,,
42.3,4.249,0.3771,0.9884,,,,
42.3,4.401,0.3899,0.9885,,,,
42.3,4.622,0.4183,0.9889,,,,
42.3,5.09,0.4684,0.9888,,,,
42.3,5.414,0.511,0.9887,,,,
42.3,5.78,0.5626,0.9886,,,,
42.3,6.028,0.6039,0.9884,,,,
42.3,6.249,0.6354,0.9881,,,,
42.3,6.58,0.7073,0.9876,,,,
42.3,7.007,0.789,0.9864,,,,
42.3,7.276,0.8414,0.9863,,,,
42.3,7.393,0.8621,0.9863,,,,
42.3,7.6,0.8934,0.9856,,,,
42.3,7.848,0.9211,0.9832,,,,
42.3,8.2,0.9554,0.9806,,,,
