"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
-125,200,0.0685,0.9994,+- 0.05,+- 3,,
-125,250,0.0852,,+- 0.05,+- 3,,
-125,300,,0.9997,+- 0.05,+- 3,,
-125,400,0.139,0.9992,+- 0.05,+- 3,,
-125,500,0.181,0.9987,+- 0.05,+- 3,,
-125,600,,0.9982,+- 0.05,+- 3,,
-125,800,0.25,0.9973,+- 0.05,+- 3,,
-125,1000,,0.9907,+- 0.05,+- 3,,
-125,1200,0.309,,+- 0.05,+- 3,,
-125,1500,0.342,,+- 0.05,+- 3,,
-125,1800,0.367,,+- 0.05,+- 3,,
-125,2000,0.383,0.9634,+- 0.05,+- 3,,
-125,2300,0.41,,+- 0.05,+- 3,,
-125,2500,,0.9494,+- 0.05,+- 3,,
