"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
337.8,99.988,1.0,1.0,0.01,0.01,,
337.85,99.988,0.8948,0.9498,0.01,0.01,,
337.9,100.042,0.825,0.9115,0.01,0.01,,
337.95,99.782,0.7649,0.9005,0.01,0.01,,
340.85,100.135,0.606,0.8309,0.01,0.01,,
344.65,100.155,0.4709,0.7766,0.01,0.01,,
347.55,100.135,0.3477,0.7078,0.01,0.01,,
350.62,100.228,0.2561,0.6472,0.01,0.01,,
354.55,100.682,0.1757,0.5852,0.01,0.01,,
357.75,100.727,0.1174,0.4928,0.01,0.01,,
362.65,100.737,0.0574,0.3742,0.01,0.01,,
373.15,100.737,0.0,0.0,0.01,0.01,,
