"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
329.6,233.5,0.73,,+-0.7,+-1,,
326.8,220.0,0.73,,+-0.7,+-1,,
320.8,190.0,0.73,,+-0.7,+-1,,
314.3,160.0,0.73,,+-0.7,+-1,,
307.7,130.0,0.73,,+-0.7,+-1,,
300.3,100.0,0.73,,+-0.7,+-1,,
290.3,60.0,0.73,,+-0.7,+-1,,
282.6,30.0,0.73,,+-0.7,+-1,,
280.0,15.0,0.73,,+-0.7,+-1,,
279.5,10.0,0.73,,+-0.7,+-1,,
279.9,5.5,0.73,,+-0.7,+-1,,
280.6,3.5,0.73,,+-0.7,+-1,,
291.9,3.6,0.73,,+-0.7,+-1,,
310.4,5.1,0.73,,+-0.7,+-1,,
331.8,6.9,0.73,,+-0.7,+-1,,
348.3,8.1,0.73,,+-0.7,+-1,,
368.4,9.6,0.73,,+-0.7,+-1,,
