"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
77.92,760,0.965,0.992,+-0.025,5,+-0.08,+-0.08
78.17,760,0.949,0.989,+-0.025,5,+-0.08,+-0.08
79.2,760,0.912,0.981,+-0.025,5,+-0.08,+-0.08
80.91,760,0.846,0.967,+-0.025,5,+-0.08,+-0.08
83.1,760,0.765,0.948,+-0.025,5,+-0.08,+-0.08
85.65,760,0.667,0.925,+-0.025,5,+-0.08,+-0.08
86.54,760,0.635,0.916,+-0.025,5,+-0.08,+-0.08
90.12,760,0.524,0.878,+-0.025,5,+-0.08,+-0.08
93.17,760,0.44,0.847,+-0.025,5,+-0.08,+-0.08
95.0,760,0.399,0.825,+-0.025,5,+-0.08,+-0.08
99.62,760,0.31,0.771,+-0.025,5,+-0.08,+-0.08
105.05,760,0.235,0.695,+-0.025,5,+-0.08,+-0.08
111.13,760,0.165,0.612,+-0.025,5,+-0.08,+-0.08
115.97,760,0.124,0.53,+-0.025,5,+-0.08,+-0.08
119.08,760,0.1,0.475,+-0.025,5,+-0.08,+-0.08
123.44,760,0.07,0.384,+-0.025,5,+-0.08,+-0.08
127.88,760,0.044,0.28,+-0.025,5,+-0.08,+-0.08
130.03,760,0.033,0.22,+-0.025,5,+-0.08,+-0.08
133.12,760,0.019,0.138,+-0.025,5,+-0.08,+-0.08
136.54,760,0.006,0.048,+-0.025,5,+-0.08,+-0.08
