"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
343.15,73.49,0.0,0.0,+-0.01,+-0.013,,
343.15,72.64,0.0415,0.0308,+-0.01,+-0.013,,
343.15,71.68,0.0989,0.0741,+-0.01,+-0.013,,
343.15,70.67,0.1605,0.1271,+-0.01,+-0.013,,
343.15,70.22,0.1849,0.1495,+-0.01,+-0.013,,
343.15,68.75,0.2661,0.2189,+-0.01,+-0.013,,
343.15,67.72,0.3247,0.2706,+-0.01,+-0.013,,
343.15,66.75,0.383,0.3236,+-0.01,+-0.013,,
343.15,60.95,0.4295,0.367,+-0.01,+-0.013,,
343.15,64.62,0.5121,0.448,+-0.01,+-0.013,,
343.15,63.2,0.5965,0.5354,+-0.01,+-0.013,,
343.15,63.09,0.6005,0.5399,+-0.01,+-0.013,,
343.15,61.91,0.6718,0.615,+-0.01,+-0.013,,
343.15,60.68,0.7471,0.6984,+-0.01,+-0.013,,
343.15,59.43,0.8232,0.7853,+-0.01,+-0.013,,
343.15,58.04,0.9111,0.8869,+-0.01,+-0.013,,
343.15,56.59,1.0,1.0,+-0.01,+-0.013,,
