"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
45.1,30.03,0.0,0.0,+-0.05,+-0.01,,
40.05,30.03,0.013,0.187,+-0.05,+-0.01,,
38.2,30.03,0.028,0.247,+-0.05,+-0.01,,
36.55,30.03,0.041,0.297,+-0.05,+-0.01,,
34.85,30.03,0.06,0.355,+-0.05,+-0.01,,
33.55,30.03,0.08,0.389,+-0.05,+-0.01,,
32.5,30.03,0.125,0.435,+-0.05,+-0.01,,
31.8,30.03,0.162,0.457,+-0.05,+-0.01,,
31.4,30.03,0.237,0.468,+-0.05,+-0.01,,
31.2,30.03,0.32,0.482,+-0.05,+-0.01,,
31.15,30.03,0.428,0.477,+-0.05,+-0.01,,
31.15,30.03,0.537,0.496,+-0.05,+-0.01,,
31.15,30.03,0.623,0.507,+-0.05,+-0.01,,
31.3,30.03,0.696,0.525,+-0.05,+-0.01,,
31.3,30.03,0.709,0.534,+-0.05,+-0.01,,
31.7,30.03,0.779,0.544,+-0.05,+-0.01,,
32.5,30.03,0.835,0.58,+-0.05,+-0.01,,
33.85,30.03,0.885,0.642,+-0.05,+-0.01,,
35.45,30.03,0.919,0.695,+-0.05,+-0.01,,
37.4,30.03,0.949,0.774,+-0.05,+-0.01,,
39.25,30.03,0.97,0.851,+-0.05,+-0.01,,
41.7,30.03,0.991,0.946,+-0.05,+-0.01,,
42.95,30.03,1.0,1.0,+-0.05,+-0.01,,
