"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
363.0,230.0,0.683,,+-0.7,+-1,,
357.6,205.0,0.683,,+-0.7,+-1,,
351.1,175.0,0.683,,+-0.7,+-1,,
344.2,145.0,0.683,,+-0.7,+-1,,
337.3,115.0,0.683,,+-0.7,+-1,,
332.5,95.0,0.683,,+-0.7,+-1,,
325.4,65.0,0.683,,+-0.7,+-1,,
321.6,45.0,0.683,,+-0.7,+-1,,
320.3,30.0,0.683,,+-0.7,+-1,,
321.5,23.1,0.683,,+-0.7,+-1,,
327.1,16.0,0.683,,+-0.7,+-1,,
333.4,13.5,0.683,,+-0.7,+-1,,
349.8,12.5,0.683,,+-0.7,+-1,,
371.1,13.1,0.683,,+-0.7,+-1,,
388.0,13.6,0.683,,+-0.7,+-1,,
402.5,13.9,0.683,,+-0.7,+-1,,
