"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
-25.01,.16,0.0,0.0,0.02,1,0.005,0.005
-25.01,.20.1,0.009486,0.9899,0.02,1,0.005,0.005
-25.01,25.1,0.01152,0.99179,0.02,1,0.005,0.005
-25.01,50.1,0.0232,0.99557,0.02,1,0.005,0.005
-25.01,100.1,0.04638,0.99757,0.02,1,0.005,0.005
-25.01,150.1,0.06884,0.99817,0.02,1,0.005,0.005
-25.01,200.1,0.08998,0.99847,0.02,1,0.005,0.005
-25.01,300.1,0.134,0.99872,0.02,1,0.005,0.005
-25.01,400.1,0.1819,0.99879,0.02,1,0.005,0.005
-25.01,600.1,0.2595,0.99863,0.02,1,0.005,0.005
-25.01,800,0.3347,0.9982,0.02,1,0.005,0.005
-25.01,1000,0.3998,0.99759,0.02,1,0.005,0.005
-25.01,1200,0.4672,0.99632,0.02,1,0.005,0.005
-25.01,1400,0.5252,0.99416,0.02,1,0.005,0.005
-25.01,1600,0.5804,0.99052,0.02,1,0.005,0.005
-25.01,1700,0.6123,0.9889,0.02,1,0.005,0.005
-25.01,1800,0.6382,0.9844,0.02,1,0.005,0.005
-25.01,2000,0.6937,0.9752,0.02,1,0.005,0.005
-25.01,2200,0.7601,0.9644,0.02,1,0.005,0.005
-25.01,2300,0.8191,0.9593,0.02,1,0.005,0.005
-25.01,2337,0.9564,0.9564,0.02,1,0.005,0.005
