"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
90,1030,0.92,0.00724,0.5,3,0.1%,0.1%
90,1525,0.872,0.01,0.5,3,0.1%,0.1%
90,1774,0.855,0.0039,0.5,3,0.1%,0.1%
90,1774,0.849,0.0025,0.5,3,0.1%,0.1%
90,2022,0.848,0.012,0.5,3,0.1%,0.1%
90,2301,0.83,0.005,0.5,3,0.1%,0.1%
90,2671,0.799,0.006,0.5,3,0.1%,0.1%
90,3022,0.785,0.005,0.5,3,0.1%,0.1%
90,3329,0.756,0.01,0.5,3,0.1%,0.1%
90,3525,0.764,0.007,0.5,3,0.1%,0.1%
90,4017,0.734,0.0079,0.5,3,0.1%,0.1%
90,5025,0.682,0.0107,0.5,3,0.1%,0.1%
90,6030,0.637,0.0139,0.5,3,0.1%,0.1%
90,8025,0.563,0.0218,0.5,3,0.1%,0.1%
90,10025,0.495,0.03,0.5,3,0.1%,0.1%
