"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
-160,300,0.0027,,+- 0.05,+-3,,
-160,1000,0.0093,,+- 0.05,+-3,,
-160,1700,0.0147,,+- 0.05,+-3,,
-160,2600,0.0214,,+- 0.05,+-3,,
